Pressure (mbar),Temperature (°C),Growth Time (min),No. of Graphene Layers,H2,CH4,C2H4,Ar,C2H2,Substrate_dim_1,Substrate_dim_2,Substrate_dim_3,Substrate_dim_4
16,16,14,1,14,4,15,16,16,-0.22428821997601966,-0.7739448154105436,0.5374419759804246,-0.24871738888422132
14,15,13,0,11,17,17,13,15,0.6040646440003118,-0.6982246046238695,-0.3766399624942318,-0.07570103050131674
14,15,13,2,11,17,17,13,15,0.7220634407184527,0.18901629065896772,-0.4212430237546498,-0.5152198990541744
13,17,12,2,9,4,2,11,4,0.6040646440003118,-0.6982246046238695,-0.3766399624942318,-0.07570103050131674
17,15,15,0,14,15,12,13,17,0.6040646440003118,-0.6982246046238695,-0.3766399624942318,-0.07570103050131674
8,15,15,0,14,15,15,7,17,0.6040646440003118,-0.6982246046238695,-0.3766399624942318,-0.07570103050131674
12,15,13,2,9,4,2,11,4,-0.1370771406970694,-0.6298751032030626,-0.7371201037484285,-0.20278354103120186
8,13,13,1,3,4,9,5,11,-0.32460200034935727,-0.2982537403209996,-0.6867826607391591,-0.5779341006220093
8,13,15,1,14,17,8,7,11,-0.15320368313149346,-0.8649091176787997,0.4238464586634497,-0.22094123451605346
13,12,16,2,3,3,8,5,11,-0.4524252576307688,-0.023518499357008144,-0.8130603777710647,-0.36563792000352013
10,12,3,2,14,3,15,8,17,-0.07555847749795998,-0.8767369709677715,-0.03566877381886583,0.473656984315344
16,7,9,1,3,9,9,5,11,-0.37961368652032357,0.35739393555334714,-0.5457924837522217,-0.6559524285462478
16,7,5,1,3,12,9,5,11,-0.3797596483992988,0.35880092793574625,-0.5458654120731276,-0.6550385144877535
12,15,3,1,3,9,8,5,11,-0.40406615415435404,0.3989230741014761,-0.4941816350808647,-0.6583125667683558
12,15,3,1,3,12,8,5,11,-0.40406615415435404,0.3989230741014761,-0.4941816350808647,-0.6583125667683558
16,12,9,1,14,3,15,8,15,0.8046166511585339,0.00571106315018049,-0.5675977649257867,-0.17433360458434893
16,12,9,1,11,3,17,7,17,0.6040646440003118,-0.6982246046238695,-0.3766399624942318,-0.07570103050131674
8,15,13,1,3,3,8,5,11,0.6040646440003118,-0.6982246046238695,-0.3766399624942318,-0.07570103050131674
8,13,13,1,11,3,17,13,15,-0.2985667088291942,-0.8271477244603558,0.4758485140717596,-0.015898237470141584
10,17,13,2,17,4,16,16,15,0.18486265877870453,0.5679350962479358,-0.7999854947148944,-0.05743458962055828
10,15,12,2,14,16,15,8,16,0.3414586941743399,-0.015222277240291243,-0.9393384839738543,-0.028591169512203266
8,17,13,0,14,11,12,16,16,0.4118616118109493,-0.2122632306258157,-0.5623202751662411,0.6849162297520341
