Pressure (mbar),Temperature (°C),Growth Time (min),Substrate,No. of Graphene Layers,H2,CH4,C2H4,Ar,C2H2,Substrate_dim_1,Substrate_dim_2,Substrate_dim_3,Substrate_dim_4
0.7895386133728101,0.4047619047857142,0.4165042603524648,Ge/Si wafer,2,0.013331688886148146,0.02727272727272727,0.039988799869331806,0.001499900149990015,0.016666666666666666,-0.18861878079880184,-0.763120803231822,0.5348761722652042,-0.3098016713120122
0.7401924500370094,0.6071428571428572,0.04973550971687119,Cu,2,0.016665027775046293,0.0,0.13332322210425787,0.00199990019999002,0.016666666666666666,0.6034923936088143,-0.6979967326079818,-0.37801736599667,-0.0755007492004219
1.0000000000000002,0.6214285714285714,0.0997494302580885,Ni,2,0.005331675552792589,0.0009090909090909091,0.07998926654144298,0.0011999001199900121,0.016666666666666666,0.4121195419280757,-0.2120123209918865,-0.5628332026331803,0.6844173032020039
0.026321243523315108,0.5714285714285714,0.008057242599190108,Cu,2,0.2666654444424074,0.36363636363636365,0.6666627777324068,0.0099999009999901,0.33333333333333337,0.6034923936088143,-0.6979967326079818,-0.37801736599667,-0.0755007492004219
0.013155687145323478,0.5714285714285714,0.006390111914482865,Cu,2,0.033331722219537036,0.01090909090909091,0.049988916537359596,0.00199990019999002,0.016666666666666666,0.6034923936088143,-0.6979967326079818,-0.37801736599667,-0.0755007492004219
0.13155687145324366,0.5535714285714286,0.0022222852027147556,Cu,0,0.009998349997249996,0.004545454545454545,0.09998949987749856,0.00599990059999006,0.03333333333333333,0.6034923936088143,-0.6979967326079818,-0.37801736599667,-0.0755007492004219
0.052622748581296876,0.592857142857143,0.04973550971687119,Cu,2,0.0066650111083518485,0.00018181818181818183,0.039988799869331806,0.002499900249990025,0.016666666666666666,0.6034923936088143,-0.6979967326079818,-0.37801736599667,-0.0755007492004219
1.0000000000000002,0.6142857142857143,0.0997494302580885,Cu,0,0.0004983341638902731,0.00018181818181818183,0.0016550193085585997,0.000199900019990002,0.0008333333333333334,0.6034923936088143,-0.6979967326079818,-0.37801736599667,-0.0755007492004219
0.013155687145323478,0.5857142857142856,0.03306420286979876,Cu,2,0.13333188888648148,0.01818181818181818,0.33332555546481374,0.014999901499990151,0.25,0.6034923936088143,-0.6979967326079818,-0.37801736599667,-0.0755007492004219
1.0000000000000002,0.6285714285714286,0.008057242599190108,Cu,0,0.0066650111083518485,0.0009090909090909091,0.049988916537359596,0.07999990799999081,0.02,0.6034923936088143,-0.6979967326079818,-0.37801736599667,-0.0755007492004219
1.0000000000000002,0.6000000000000001,0.11225291039339283,"In, Ga; Cu",0,0.008331680552800922,0.022727272727272728,0.06665577765073925,0.04499990449999045,0.02666666666666667,-0.5079722681265199,-0.16771197947666083,-0.05518893953708739,0.8430842470994171
1.0000000000000002,0.5857142857142856,0.05807116314040741,Ga,0,0.009998349997249996,0.022727272727272728,0.06665577765073925,0.029999902999990304,0.03333333333333333,0.24222865320156772,-0.15394179474512173,-0.27427184627078477,0.9178246879126865
1.0000000000000002,0.6428571428571428,0.04973550971687119,Cu,0,0.19999866666444444,0.012727272727272728,0.6666627777324068,0.014999901499990151,0.16666666666666669,0.6034923936088143,-0.6979967326079818,-0.37801736599667,-0.0755007492004219
1.0000000000000002,0.6160714285714286,0.6332312493644064,Pt3Si/Pt,1,0.3333322222203704,0.007272727272727273,0.49999416659861023,0.019999901999990202,1.0,-0.6294952517255807,-0.21028299387392219,0.5211950100308559,-0.536537558854274
1.0000000000000002,0.6285714285714286,0.024728549446262543,Cu,2,0.13333188888648148,0.0027272727272727275,0.9999999999999998,0.049999904999990505,0.5,0.6034923936088143,-0.6979967326079818,-0.37801736599667,-0.0755007492004219
0.9997532691833211,0.6571428571428573,0.22311710092642453,Cu on W,0,0.19999866666444444,0.01090909090909091,0.33332555546481374,0.0599999059999906,0.16666666666666669,0.4855823304014929,0.08172952070132851,0.7532192695994433,0.4361087223982889
0.9997532691833211,0.6571428571428573,0.10391725696985661,"Ga, In, Cu",0,0.009998349997249996,0.022727272727272728,0.09165606932080873,0.029999902999990304,0.025,-0.14785204605249155,0.12734958659988765,0.23290797378157946,0.9527201745632811
0.9997532691833211,0.6357142857142857,0.12475639052869715,Cu on W or Mo,0,0.033331722219537036,0.004681818181818182,0.049988916537359596,0.019999901999990202,0.016666666666666666,0.8538641563186965,-0.05566077015255058,0.3453361823335662,0.3854358602821788
0.9997532691833211,0.5,0.025145332117439356,"Ga, In, Sn, In-Cu, Sn-Ni, Sn-Ag-Cu",0,0.033331722219537036,0.004681818181818182,0.08332263876411891,0.019999901999990202,0.016666666666666666,0.10553732017596046,-0.6303792610510198,-0.1758007102931093,0.7487175512483231
0.9997532691833211,0.6357142857142857,0.14976335079930583,Cu on W or Mo,0,0.05333175555292593,0.01818181818181818,0.08332263876411891,0.019999901999990202,0.05,0.8538641563186965,-0.05566077015255058,0.3453361823335662,0.3854358602821788
0.02467308166789936,0.6571428571428573,0.07891029669924796,Cu on W and Mo,0,0.0799984666641111,0.01090909090909091,0.24999124989791544,0.00499990049999005,0.26666666666666666,0.8431695851831995,0.06703906120719183,0.46716154841231355,0.25754786463773915
0.02664692820133139,0.5714285714285714,0.04973550971687119,Ni,0,0.06666511110851851,0.014545454545454545,0.1666569443310172,0.0099999009999901,0.08333333333333334,0.4117332085681203,-0.21232368441843122,-0.5626514117087106,0.684702714248584
