Pressure (mbar),Temperature (°C),Growth Time (min),Substrate,H2,CH4,C2H4,Ar,C2H2,No. of Graphene Layers
0.7895386133728101,0.4047619047857142,0.4165042603524648,49,0.3866991132742183,0.10329878159665395,0.0,0.018877755511022047,0.6426028547439127,1
0.7401924500370094,0.6071428571428572,0.04973550971687119,9,0.38000200013334223,0.09700490998363341,0.0,0.01935871743486974,0.5007086481947942,1
1.0000000000000002,0.6214285714285714,0.0997494302580885,64,0.33579238615907725,0.15994726313875252,0.0,0.02692384769539078,0.7010713685978169,1
0.026321243523315108,0.5714285714285714,0.008057242599190108,9,0.2666177745183012,0.3635206401163848,0.0,0.014801102204408818,0.7168564231738036,1
0.013155687145323478,0.5714285714285714,0.006390111914482865,9,0.03326888459230615,0.010729223495180943,0.0,0.005483967935871744,0.5350747271200671,1
0.13155687145324366,0.5535714285714286,0.0022222852027147556,9,0.13580905393692913,0.262156755773777,0.0,0.004008016032064129,0.8771536523929471,0
0.052622748581296876,0.592857142857143,0.04973550971687119,9,0.0066004400293352885,0.0,0.0,0.014219939879759518,0.4380235096557515,1
1.0000000000000002,0.6142857142857143,0.0997494302580885,9,0.33968597906527104,0.0,0.0,0.02692384769539078,0.542354324097397,0
0.013155687145323478,0.5857142857142856,0.03306420286979876,9,0.13327555170344688,0.01800327332242226,0.0,0.005711422845691382,0.6963560033585222,1
1.0000000000000002,0.6285714285714286,0.008057242599190108,9,0.0066004400293352885,0.0007274049827241316,0.0,0.0781563126252505,0.2806935348446683,0
1.0000000000000002,0.6000000000000001,0.11225291039339283,57,0.008267217814520967,0.022549554464448084,0.0,0.04308617234468937,0.32202015113350124,0
1.0000000000000002,0.5857142857142856,0.05807116314040741,42,0.009933995599706646,0.022549554464448084,0.0,0.028056112224448898,0.44190596137699406,0
1.0000000000000002,0.6428571428571428,0.04973550971687119,9,0.19994666311087406,0.012547735951991271,0.0,0.02652304609218437,0.545712846347607,0
1.0000000000000002,0.6160714285714286,0.6332312493644064,78,0.33328888592572836,0.0070921985815602835,0.0,0.02717434869739479,0.4972930310663307,1
1.0000000000000002,0.6285714285714286,0.024728549446262543,9,0.13327555170344688,0.002545917439534461,0.0,0.04809619238476954,0.3807002518891687,1
0.9997532691833211,0.6571428571428573,0.22311710092642453,20,0.19994666311087406,0.010729223495180943,0.0,0.021743486973947897,0.5015348446683457,0
