Pressure (mbar),C2H4,Growth Time (min),H2,CH4,Ar,C2H2
5.5e-06,30.0,39.3,180.0,32.4,142.3,12.408000000000001
0.666612,30.0,131.0,100.0,70.0,160.0,2.853
0.9999178,30.0,28.5166,37.2,8.42,80.0,2.8529999999999998
5.600001600000001,30.0,74.0,50.0,1.5,220.0,2.853
0.75327138,30.0,5.0,50.0,1.0,138.3,7.808000000000002
0.49995888,30.0,25.0334,44.4,29.6,142.3,12.349
0.933257,30.0,131.0,2.0,35.0,76.3,2.8529999999999998
0.1999836,30.0,128.5334,10.0,0.1,144.3,2.8529999999999998
4.999589,30.0,130.0,200.0,100.0,50.0,17.244999999999997
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
5.5e-06,30.0,39.3,180.0,32.4,142.3,12.408000000000001
0.1466546,30.0,130.5,2.0,3.0,80.3,2.8529999999999998
0.099991776,30.0,17.6,5.0,8.0,80.3,2.8529999999999998
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
3e-06,30.0,2.5,123.4,10.22,80.3,19.6
1e-07,30.0,21.3,123.4,23.22,154.0,19.6
14.93211,30.0,30.0,20.0,2.0,248.0,7.808000000000002
749.93832,30.0,30.0,850.0,6.0,340.0,7.808
0.1335159034,30.0,20.0,500.0,5.0,152.0,17.304
1e-12,30.0,66.26,180.0,32.4,142.3,12.408
1e-06,30.0,5.0,161.4,22.419999999999998,80.3,19.6
1.33e-06,30.0,66.26,180.0,32.4,142.3,12.408
1013.25,30.0,75.0,35.5,16.115000000000002,450.0,7.808000000000002
1013.25,30.0,60.0,50.0,3.0,1000.0,2.8529999999999998
5.4512224834000005,30.0,20.0,10.0,1.0,500.0,8.808
39.9967,30.0,60.0,30.0,30.0,92.0,7.808000000000002
1013.25,30.0,60.0,10.0,50.0,300.0,7.808000000000002
1013.25,30.0,10.0,10.0,10.0,500.0,7.808
1013.25,30.0,600.0,196.0,10.515,430.0,7.6530000000000005
1013.25,30.0,5.0,50.0,5.0,1000.0,2.8529999999999998
53.3289,30.0,10.0,10.0,1.0,200.0,7.808
53.3289,30.0,33.0,40.0,18.419999999999998,130.0,7.7490000000000006
67.9944,30.0,60.0,36.0,52.220000000000006,50.0,25.0
419.099284,30.0,60.0,10.0,180.0,2046.3,7.808000000000002
26.7537261952,30.0,130.0,30.0,0.5,200.0,7.808
133.322,30.0,120.0,33.739999999999995,93.5,2102.0,7.808
1013.25,30.0,90.0,50.0,30.0,430.0,2.8529999999999998
25.06461,30.0,30.0,100.0,5.0,1000.0,8.808
9.99918,30.0,360.0,5.0,5.0,160.0,2.853
0.0506625,30.0,22.5,123.4,23.22,154.0,19.6
0.07999342,30.0,129.5,38.0,35.6,142.3,12.349
1013.25,30.0,98.0,453.0,134.4,580.0,13.645
206.16080039999997,30.0,151.6,65.0,550.0,200.0,2.853
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
0.05332895,30.0,122.5,16.48,25.880000000000003,142.3,12.349
0.3599704,30.0,142.0334,18.4,20.619999999999997,142.3,6.453
0.1199901,30.0,127.0,27.4,26.2,142.3,12.349
